UPC,Name,Productline,Brand,Company,Category,Section
0627843777076,SHELTON BR STOUT IMPERIAL,,OSHLAG,,Beer,1
0627843777090,SHELTON BR BL ESPRESSO 4.7%,,OSHLAG,,Beer,1
0627843863625,MATERA BR TAMTAM IPA 4.75 %,,,,Beer,1
0627843863649,MATERA BR REAL DBL IPA 7.75 %,,,,Beer,1
0628110125125,BOCKALE BIERE CANDIDE 4.7%,,,,Beer,1
0628110125132,LE BOCKALE BIERE EUPHORIQUE,,,,Beer,1
0628110125149,LE BOCKALE BIERE IDYLLIQUE 5%,,,,Beer,1
0628110125156,LE BOCKALE BIERE DRUMMOND,,,,Beer,1
0628110125194,BOCKALE BIERE PIC DE L'OURS,,,,Beer,1
0628110125248,LE BOCKALE BR SWEEP RED IPA,,,,Beer,1
0628110125279,LE BOCKALE BR CHARNELLE 4.5%,,,,Beer,1
0628110125286,BOCKALE BIERE A 20 5%,,,,Beer,1
0628110125293,BR L'HOMME QUI PLANTAIT,,,,Beer,1
0628110125316,LE BOCKALE BR CROUST'ALE 5%,,,,Beer,1
0062067861536,FT DC LOWENBRAU RADL BIERE,,,,Beer,14
0062067874819,BD DC BLEUE DRY BIERE 8.1%,,,,Beer,14
0062067914812,BD DC BLEUE DRY BIERE 10.1%,,,,Beer,14
0071990100025,BD DC COORS BANQUET BIERE,,,,Beer,14
0072890001375,BD DC HElNEKEN BIERE 5% CAN,,,,Beer,14
0072890004420,BD DC HEINEKEN BIERE LAGER,,,,Beer,14
0087692004066,BR SAMUEL ADAMS BOSTON LAG,,,,Beer,14
0627005064013,AB AM CREEMORE SPRINGS,,,,Beer,14
0627005534011,MAD&NO|SY BIERE LAGERED ALE,,,,Beer,14
0627005804015,CREEMORE LOTS BIERE CANS,,,,Beer,14
0684746397114,BD RD BORIS SLAM BIERE 10.5%,,,,Beer,14
0684746397138,BD RD BORIS BOLD BIERE CAN,,,,Beer,14
0771815803789,RS DC BOREALE BIERE CAN,,,,Beer,14
0771815803796,BOREALE BIERE ROUSSE CAN,,,,Beer,14
0876976000029,BD AM ARCHIBALD BIERE BRISE,,,,Beer,1
0876976000036,AB AM ARCHIBALD BIERE LA 0359740 2.99,,,,Beer,1
0876976000043,AB AM ARCHIBALD BIERE LA 0359742 2.99,,,,Beer,1
0876976000067,BD DC ARCHIBALD BIERE LA 0359744 9.99,,,,Beer,1
0876976000074,BD AM ARCHIBALD BIERE BRISE 0359749 9.99,,,,Beer,1
0876976000098,AB AM ARCHIBALD BIERE LA 0359740 9.99,,,,Beer,1
0876976000111,ARCHIBALD BIERE LA MIXTE 5,,,,Beer,1
0876976000128,BC DC ARCHIBALD BIERE LA 0359744 5.00,,,,Beer,1
0876976000135,BC DC ARCHIBALD BIERE LA 0359744 9.99,,,,Beer,1
0876976000234,ARCHIBALD BIERE VALKYRIE 7.1%,,,,Beer,1
0876976000753,BC DC ARCHIBALD BIERE NUlT ,,,,Beer,1
0876976000760,BC DC ARCHIBALD BIERE 2.99,,,,Beer,1
0876976000791,BC DC ARCHIBALD BIERE 9.99,,,,Beer,1
8008440422019,XX XX PERONI BlERE AZZURO,,,,Beer,14
8593868000050,XX XX STAROPRA BIERE 5% CAN,,,,Beer,14
8714800007191,BD DC BAVARIA BlERE PREMIUM,,,,Beer,14
0020507000112,BD DC BITBURGER BIERE,,,,Beer,3
0020507000679,BITBURGER CAN BIERE 0%,,,,Non-Alcoholic,3
0056910605040,BD DC SAPPORO BIERE 5% CAN,,,,Beer,3
0062067111235,BD DC LABATT 50 BIERE CAN,,,,Beer,3
0062067121234,BD DC AKEITHS BIERE IPA,,,,Beer,3
0062067133237,AB DC AKEITHS BIERE ROUGE,,,,Beer,3
0062067166235,FT DC SHOCK TOP BIERE 5.2%,,,,Beer,3
0062067200922,BD AM STELLA ARTOIS BIERE CAN,,,,Beer,3
0062067423017,AB DC BODDINGTON BIERE PUB,,,,Beer,3
0062067860232,LOWENBRAU BIERE CAN,,,,Beer,3
0072890004956,BD DC HEINEKEN BIERE 5% CAN,,,,Beer,3
0083820123609,NR DC GUINNESS BIERE CAN,,,,Beer,3
0083820182149,XX XX HOPHOUSE BIERE 13 LAGER,,,,Beer,3
0088345101187,BN DC NEWCASTLE BROWN ALE,,,,Beer,3
0771815813788,BD DC BOREALE BIERE CAN,,,,Beer,14
0771815823787,AB AM BOREALE BIERE IPA CAN,,,,Beer,14
0771815833793,BOREALE BIERE BLANCHE CAN,,,,Beer,14
0776213900023,ED DC TREMBLAY BIERE,,,,Beer,14
0776213900030,BGUEULE BIERE ORIGINALE CAN,,,,Beer,14
0776213900047,BGUEULE BIERE PILSNER CAN,,,,Beer,14
0776213900054,BGUEULE BIERE ROUSSE CAN,,,,Beer,14
0776213900061,BGUEULE BIERE HOUBLON CAN,,,,Beer,14
0776213900122,BD DCTREMBLAY BIERE CAN,,,,Beer,14
0776213900269,BGUEULE BIERE HEFEWEIZEN,,,,Beer,14
0779446200489,RS DC GRANVILLE BIERE ENGLISH,,,,Beer,14
0786150000229,BD AM STELLA ARTOIS BIERE,,,,Beer,14
7501064196102,BD DC CORONA EXTRA BIERE,,,,Beer,14
